etiquetas,Area,Eccentricity,Solidity,Extent,Perimeter,MajorAxisLength,MinorAxisLength,Circularity,Elongation,roundnessCH,convexity,circleVariance,ellipVariance,Mean_Green,Mean_Red,Mean_Blue,Std_Green,Std_Red,Std_Blue,Skewness_G,Skewness_R,Skewness_B,Kurtosis_G,Kurtosis_R,Kurtosis_B,Entropy_G,Entropy_R,Entropy_B
Esferocito,32735,0.305106472574653,0.995166291724935,0.798882272549785,641.594,209.530519420108,199.539736597751,0.999313194028488,0.0476817546675624,0.997049258695769,1.00113467395269,0.0332198530518267,0.0558601389384108,38822.3897357568,45260.3820986711,41966.7282113945,2451.40489655973,2306.32135671179,3041.62420513206,1.57876907884417,1.09209756542923,1.17090442182688,6.00533085747216,5.39679496311694,4.02438717823909,4.99593474964237,5.08002414766427,5.36080474507533
Esferocito,38130,0.464124004380916,0.970525351252291,0.763638548425859,710.884,234.820145813902,207.996695653555,0.948154673647333,0.114229765369471,0.958297277540587,0.994693930374013,0.0591202705467044,0.0443794301894707,41680.0352478363,46712.4456333596,44367.6844479413,2378.23515611434,2644.75667781731,2458.38221874651,0.119853511119665,-0.878293638110395,0.257094646830805,2.95489875147188,6.23697965891541,2.52749480997017,5.21992425174007,5.32703743628255,5.27531005273676
Esferocito,29920,0.585529921405853,0.989745286139596,0.776255707762557,623.086,217.111059126994,176.001252644996,0.96844612694702,0.18934920518237,0.970713121610133,0.998831621959088,0.0812852999442808,0.0610713554509907,35808.179144385,41230.5770053476,41266.7443850267,3368.02008711185,3095.99040244483,3478.31436238947,1.17464090594591,0.947323359275612,0.852990129933319,4.05307611635261,4.33182155969486,3.00856324094603,5.50798167420866,5.53009283827521,5.605243359053
Esferocito,33115,0.125886153442641,0.994743166115951,0.784158181387639,642.488,206.165431533683,204.525322592774,1.00810224575322,0.00795530525514343,1.00582157140077,1.00113309509283,0.00484029942103579,0.0480298713554529,38653.3271327193,44345.8203231164,41513.3555186471,3097.07502762478,2986.61635794107,3398.99918556537,0.509430950750812,-0.257179730855554,0.449938445052024,2.55931318455025,4.02733831566445,2.44554051707475,5.5474514780059,5.55643665941658,5.68642954852106
Esferocito,35967,0.334245551142244,0.994030345742476,0.774483204134367,672.576,220.490727852095,207.809430136457,0.999151505034397,0.0575139727605414,1.00062681159621,0.999262536873156,0.0236410336439911,0.0622206707826134,39361.9649122807,46842.0376456196,44209.675758334,2648.20697499021,2018.47147042869,2652.46125909265,0.789114613707873,0.183553645761588,0.514979293449615,2.97699800404845,3.03012075527014,2.53628673481398,5.2535661791683,5.01469481570885,5.31298522280427
Esferocito,33344,0.414087956957514,0.989436201780415,0.767128330189113,651.09,216.149749788194,196.747472220361,0.988429073173783,0.0897631275855981,0.991295419676004,0.998553195410773,0.0384883576054956,0.0470897253299789,37862.9990403071,42964.7144913628,40360.0806142035,2419.11714892496,2674.11739180415,2665.81725069652,0.0752753928410338,-0.693944604352191,0.373166200618463,2.44276649750124,4.86895202644436,2.51448408102557,5.25240577529208,5.37344395386322,5.36940050157093
Esferocito,32220,0.564972533113314,0.988525495489967,0.727346607070297,648.364,223.383846244463,184.316181038976,0.963158173036852,0.174890288005573,0.966410765252286,0.998315760899742,0.0715166293371789,0.0314196673613764,37788.1018001241,42648.2502793296,42273.9401613904,2679.24540164255,2809.59400072676,2516.59704305945,0.872337051998075,0.804749724578403,0.630936286556018,3.5098485134772,3.67357458431279,3.20763476417895,5.29976382865174,5.40319603479837,5.27345122462389
Esferocito,25562,0.392361567073752,0.98156823592658,0.743124600267457,577.644,188.438510901723,173.327827951336,0.96268490299342,0.0801889320716838,0.973697876271979,0.994328686872884,0.0430452411235434,0.042185913675467,38442.2339410062,46232.3029496909,42988.7069869337,3313.90764324599,2473.92723664655,3289.33918264637,0.545394192512912,0.257017274997555,0.377949617991114,2.44559165335072,2.73026329844146,2.27203129088396,5.60492699084519,5.29310679570149,5.62965618170083
Esferocito,28957,0.546578722988888,0.990863673692855,0.763533289386948,610.302,210.064610933694,175.909728156482,0.976953389065505,0.162592273993226,0.97987332031762,0.998508934920744,0.0662084738747665,0.0487812935839627,39998.8192146977,43428.0551162068,43657.3987636841,2710.90537328385,2574.65370711548,2795.1346625933,0.78259260007267,0.504026786044851,0.600133374937534,3.04828590060474,3.41518666081152,2.78200851648369,5.30386619900475,5.33750929895094,5.39569985735976
Esferocito,34479,0.216702502467103,0.99282999308915,0.785613379511484,657.978,212.097916041422,207.057979398041,1.00078728652181,0.0237623109997774,1.0002581869552,1.00026444653165,0.0128237283488296,0.0396358552634688,32811.8249369181,37233.1332115201,38749.2945851098,4856.23384580367,4749.11445264474,4434.9058743387,0.472514384487085,-0.294845858137318,0.569484907834459,2.95627139026911,5.71986436035143,2.36958568350334,6.15324083397217,6.13031504320107,5.99049908780931
Esferocito,33931,0.30304038920366,0.993325331537808,0.784441105074558,653.95,213.168676922936,203.14499833319,0.997051141336393,0.0470222864561342,0.994834938386027,1.0011132349568,0.0301157152778399,0.054692304895205,37356.0003536589,42805.8650791312,38992.213138428,2181.82345475968,2357.53423876589,2600.70593038827,1.71436486608066,1.24404077451962,1.5335061505288,7.11069037381582,6.00693167086887,5.857727996203,4.82131514320899,5.07854487677086,5.0999809499881
Esferocito,26610,0.509374684871773,0.991800223630265,0.773996509598604,581.894,198.590386462935,170.895933355203,0.987567934465259,0.13945515490953,0.985744318458396,1.00092456701736,0.0557962920952295,0.0341086376727229,38694.3464862833,42550.5419015408,42407.4684704998,2615.52218934398,2823.5625350559,2798.8651474835,0.41888651993166,0.289224654354702,0.472367421223864,2.5104952668884,2.88286022734629,2.64758107201875,5.32780836946073,5.48677068033877,5.42659635897683
Esferocito,28165,0.343494699086518,0.994702454529401,0.776537082988696,592.908,195.470695524869,183.577205885157,1.00680415484412,0.0608453845614866,1.00433629912307,1.00122784647871,0.0259087458138683,0.116225675114867,37976.5263270016,42952.7830995917,41166.6445588496,3140.53388647435,2659.00123514934,3267.66373862366,1.61855420916597,0.767821206982758,0.939638731799163,5.82361076889863,4.07431336620593,3.18797312999532,5.26808348850232,5.34937200033175,5.48694997747346
Esferocito,29224,0.163416119125167,0.994995063157536,0.784579037800687,602.7,194.213016322185,191.602255801045,1.01099065277,0.013442768000726,1.0085527240548,1.00120789779326,0.00634636196407835,0.0342596615736273,32418.0531070353,37494.5956747878,35538.8568300027,3406.11327652495,3426.61690063559,3594.3200179597,1.91574167453734,1.45990674190901,1.39317367467486,6.92166554780435,6.59700542936893,4.58494962177028,5.27711311533737,5.55053801249336,5.49868171994379
Esferocito,34121,0.292861958597033,0.995100469538336,0.773718820861678,652.91,213.177293828913,203.83047843683,1.00583090166835,0.0438452671211057,1.00359162818194,1.00111500819408,0.016587272752152,0.0354715742357479,39980.5009231851,44962.2179889218,43096.4738430878,2325.1875835925,2070.29883463033,2790.08390812672,1.43353946097288,0.692163097474486,0.942784032835784,5.37491192060623,4.3529906439453,3.39739614909824,4.95351373451734,5.00198411848508,5.29237407380172
Esferocito,24766,0.30254477636785,0.993860106745857,0.748036728283194,558.052,182.062459660093,173.530134011937,0.999347187911819,0.0468648268516539,0.996744908555958,1.00130453792836,0.027471671069166,0.025246948055381,40805.2840184123,44027.7302753775,44209.9271582008,2605.57339554513,2680.53863984965,2772.25427896209,0.467409542254673,0.220431240492991,0.47852889094902,2.57343701588788,2.7346035211732,2.53637365899337,5.31436999630924,5.41218408177983,5.39493435554285
Esferocito,38448,0.507862076356419,0.995262871786907,0.794708557255064,695.582,238.5164136323,205.467196958486,0.99858939038281,0.138561603247831,0.996502408874856,1.00104660557634,0.0567596249482794,0.0754780888348831,37082.0561797753,42671.8248023304,38624.0919683729,2091.8101593423,2251.54108614917,2553.63304493148,1.64271327290838,1.27650422329986,1.4899110043331,6.85081864820721,6.19823537393994,5.78579627461368,4.78819552164721,5.01092967325811,5.09704799753569
